,,0.072,2,6,,,,,,,
15429879,LF,13.3,9.9,No,1985,,,,,,
15429879,LR,13.3,9.8,No,1985,,,,,,
15429879,RF,13.3,9.8,Yes,1985,,,,,,
15429879,RR,13.3,9.9,No,1985,,,,,,
15898470,LF,8.5,10.3,No,18549,,,,,,
15898470,LR,8.5,10.3,No,18549,,,,,,
15898470,RF,8.5,10.2,No,18549,,,,,,
15898470,RR,8.5,10.2,No,18549,,,,,,
21583751,LF,4.3,10.6,No,8100,,,,,,
21583751,LR,8.4,10.2,No,8100,,,,,,
21583751,RF,4.3,10.6,No,8100,,,,,,
21583751,RR,4.3,10.6,No,8100,,,,,,
2833025,LF,37.1,7.7,No,63240,,,,,,
2833025,LR,37.1,7.7,No,63240,,,,,,
2833025,RF,37.1,7.7,No,63240,,,,,,
2833025,RR,37.1,7.6,No,63240,,,,,,
5103064,LF,40.2,7.4,No,82785,,,,,,
5103064,LR,40.2,7.5,No,82785,,,,,,
5103064,RF,40.2,7.4,Yes,82785,,,,,,
5103064,RR,40.2,7.4,No,82785,,,,,,
2598132,LF,14.9,9.6,No,32705,,,,,,
2598132,LR,14.9,9.6,No,32705,,,,,,
2598132,RF,14.9,9.7,No,32705,,,,,,
2598132,RR,14.9,9.7,No,32705,,,,,,
17687947,LF,11.6,10.1,No,24934,,,,,,
17687947,LR,11.6,10.0,No,24934,,,,,,
17687947,RF,11.6,9.9,No,24934,,,,,,
17687947,RR,11.6,9.9,No,24934,,,,,,
4313654,LF,7.2,10.4,No,9475,,,,,,
4313654,LR,7.2,10.4,No,9475,,,,,,
4313654,RF,7.2,10.3,No,9475,,,,,,
4313654,RR,7.2,10.4,No,9475,,,,,,
12316413,LF,26.6,8.7,No,64426,,,,,,
12316413,LR,26.6,8.7,No,64426,,,,,,
12316413,RF,26.6,8.7,Yes,64426,,,,,,
12316413,RR,26.6,8.7,No,64426,,,,,,
1699100,LF,37.0,7.7,No,21630,,,,,,
1699100,LR,37.0,7.8,No,21630,,,,,,
1699100,RF,37.0,7.7,No,21630,,,,,,
1699100,RR,37.0,7.8,No,21630,,,,,,
8274332,LF,25.5,8.7,No,32907,,,,,,
8274332,LR,25.5,8.7,No,32907,,,,,,
8274332,RF,25.5,8.8,No,32907,,,,,,
8274332,RR,25.5,8.8,No,32907,,,,,,
15150516,LF,16.0,9.5,No,3983,,,,,,
15150516,LR,16.0,9.6,No,3983,,,,,,
15150516,RF,16.0,9.6,No,3983,,,,,,
15150516,RR,16.0,9.5,No,3983,,,,,,
21733859,LF,9.0,10.2,No,5917,,,,,,
21733859,LR,9.0,10.2,No,5917,,,,,,
21733859,RF,9.0,10.2,No,5917,,,,,,
21733859,RR,9.0,10.3,No,5917,,,,,,
15387449,LF,23.8,9.0,Yes,63750,,,,,,
15387449,LR,23.8,8.8,Yes,63750,,,,,,
15387449,RF,23.8,8.9,No,63750,,,,,,
15387449,RR,23.8,8.8,No,63750,,,,,,
9206759,LF,19.2,9.3,No,45640,,,,,,
9206759,LR,19.2,9.4,No,45640,,,,,,
9206759,RF,19.2,9.4,No,45640,,,,,,
9206759,RR,19.2,9.4,Yes,45640,,,,,,
10788426,LF,6.7,10.5,No,3130,,,,,,
10788426,LR,6.7,10.5,No,3130,,,,,,
10788426,RF,6.7,10.5,No,3130,,,,,,
10788426,RR,6.7,10.4,No,3130,,,,,,
3688067,LF,18.0,9.4,No,11272,,,,,,
3688067,LR,1.9,10.9,No,11272,,,,,,
3688067,RF,18.0,9.4,No,11272,,,,,,
3688067,RR,18.0,9.4,No,11272,,,,,,
2629542,LF,10.1,10.2,No,21674,,,,,,
2629542,LR,10.1,10.2,No,21674,,,,,,
2629542,RF,10.1,10.1,No,21674,,,,,,
2629542,RR,10.1,10.2,No,21674,,,,,,
19000471,LF,8.3,10.2,No,1124,,,,,,
19000471,LR,8.3,10.2,No,1124,,,,,,
19000471,RF,8.3,10.2,No,1124,,,,,,
19000471,RR,8.3,10.3,No,1124,,,,,,
20499235,LF,17.3,9.4,No,33244,,,,,,
20499235,LR,17.3,9.4,No,33244,,,,,,
20499235,RF,17.3,9.5,No,33244,,,,,,
20499235,RR,17.3,9.5,No,33244,,,,,,
16875189,LF,10.6,10.1,No,10305,,,,,,
16875189,LR,10.6,10.0,No,10305,,,,,,
16875189,RF,10.6,10.0,No,10305,,,,,,
16875189,RR,10.6,10.1,No,10305,,,,,,
17922483,LF,39.6,7.5,No,28592,,,,,,
17922483,LR,39.6,7.5,Yes,28592,,,,,,
17922483,RF,39.6,7.5,No,28592,,,,,,
17922483,RR,39.6,7.5,No,28592,,,,,,
17415964,LF,18.8,9.3,No,34845,,,,,,
17415964,LR,18.8,9.3,No,34845,,,,,,
17415964,RF,18.8,9.2,No,34845,,,,,,
17415964,RR,18.8,9.3,No,34845,,,,,,
21366656,LF,15.8,9.6,No,17692,,,,,,
21366656,LR,15.8,9.6,No,17692,,,,,,
21366656,RF,15.8,9.6,No,17692,,,,,,
21366656,RR,15.8,9.7,No,17692,,,,,,
15106986,LF,7.1,10.4,No,963,,,,,,
15106986,LR,7.1,10.4,No,963,,,,,,
15106986,RF,7.1,10.4,No,963,,,,,,
15106986,RR,7.1,10.4,No,963,,,,,,
784398,LF,26.7,8.6,No,11307,,,,,,
784398,LR,26.7,8.6,No,11307,,,,,,
784398,RF,26.7,8.6,No,11307,,,,,,
784398,RR,26.7,8.7,No,11307,,,,,,
10120090,LF,12.8,9.9,No,6717,,,,,,
10120090,LR,11.5,10.0,No,6717,,,,,,
10120090,RF,12.8,9.9,No,6717,,,,,,
10120090,RR,12.8,9.8,Yes,6717,,,,,,
6269826,LF,19.6,9.3,No,471,,,,,,
6269826,LR,19.6,9.3,No,471,,,,,,
6269826,RF,19.6,9.3,No,471,,,,,,
6269826,RR,19.6,9.2,No,471,,,,,,
20596717,LF,11.6,10.0,No,28912,,,,,,
20596717,LR,11.6,10.0,No,28912,,,,,,
20596717,RF,11.6,9.9,No,28912,,,,,,
20596717,RR,11.6,10.0,No,28912,,,,,,
846468,LF,33.8,8.0,No,14623,,,,,,
846468,LR,33.8,8.0,No,14623,,,,,,
846468,RF,33.8,8.0,No,14623,,,,,,
846468,RR,33.8,7.9,No,14623,,,,,,
7082619,LF,14.0,9.8,No,31659,,,,,,
7082619,LR,14.0,9.8,No,31659,,,,,,
7082619,RF,14.0,9.8,No,31659,,,,,,
7082619,RR,14.0,9.7,No,31659,,,,,,
8817332,LF,1.8,10.8,No,890,,,,,,
8817332,LR,1.8,10.9,No,890,,,,,,
8817332,RF,1.8,10.8,No,890,,,,,,
8817332,RR,1.8,10.8,No,890,,,,,,
16711419,LF,19.6,9.3,No,26098,,,,,,
16711419,LR,19.6,9.2,No,26098,,,,,,
16711419,RF,19.6,9.2,No,26098,,,,,,
16711419,RR,19.6,9.3,No,26098,,,,,,
2491795,LF,1.7,10.8,No,2433,,,,,,
2491795,LR,1.7,10.8,No,2433,,,,,,
2491795,RF,1.7,10.8,No,2433,,,,,,
2491795,RR,1.7,10.8,No,2433,,,,,,
12130949,LF,6.6,10.4,No,16073,,,,,,
12130949,LR,6.6,10.4,No,16073,,,,,,
12130949,RF,6.6,10.4,No,16073,,,,,,
12130949,RR,6.6,10.4,No,16073,,,,,,
17036220,LF,11.7,9.9,No,10369,,,,,,
17036220,LR,11.7,10.0,No,10369,,,,,,
17036220,RF,11.7,10.0,No,10369,,,,,,
17036220,RR,11.7,10.0,No,10369,,,,,,
9094616,LF,12.8,9.8,No,5805,,,,,,
9094616,LR,12.8,9.9,No,5805,,,,,,
9094616,RF,12.8,9.9,No,5805,,,,,,
9094616,RR,12.8,10.0,No,5805,,,,,,
15493074,LF,1.1,10.9,No,17,,,,,,
15493074,LR,1.1,10.8,No,17,,,,,,
15493074,RF,1.1,10.9,No,17,,,,,,
15493074,RR,1.1,10.9,No,17,,,,,,
19944711,LF,2.2,10.8,No,4922,,,,,,
19944711,LR,2.2,10.8,No,4922,,,,,,
19944711,RF,2.2,10.8,No,4922,,,,,,
19944711,RR,2.2,10.9,No,4922,,,,,,
19117194,LF,27.7,8.6,No,62371,,,,,,
19117194,LR,27.7,8.6,No,62371,,,,,,
19117194,RF,27.7,8.6,No,62371,,,,,,
19117194,RR,27.7,8.5,No,62371,,,,,,
12273044,LF,16.4,9.5,No,36739,,,,,,
12273044,LR,44.6,7.1,No,36739,,,,,,
12273044,RF,16.4,9.5,No,36739,,,,,,
12273044,RR,16.4,9.5,No,36739,,,,,,
20476095,LF,8.4,10.2,No,3051,,,,,,
20476095,LR,8.4,10.2,No,3051,,,,,,
20476095,RF,8.4,10.3,No,3051,,,,,,
20476095,RR,8.4,10.3,No,3051,,,,,,
14678685,LF,40.5,7.3,No,47255,,,,,,
14678685,LR,40.5,7.4,No,47255,,,,,,
14678685,RF,40.5,7.5,No,47255,,,,,,
14678685,RR,40.5,7.4,No,47255,,,,,,
13794964,LF,40.5,7.4,No,80607,,,,,,
13794964,LR,40.5,7.3,No,80607,,,,,,
13794964,RF,40.5,7.4,No,80607,,,,,,
13794964,RR,40.5,7.4,No,80607,,,,,,
12874734,LF,11.3,10.0,No,2592,,,,,,
12874734,LR,11.3,10.1,No,2592,,,,,,
12874734,RF,11.3,10.1,No,2592,,,,,,
12874734,RR,11.3,10.0,Yes,2592,,,,,,
11817304,LF,29.7,8.4,Yes,70204,,,,,,
11817304,LR,29.7,8.4,No,70204,,,,,,
11817304,RF,29.7,8.4,No,70204,,,,,,
11817304,RR,29.7,8.4,No,70204,,,,,,
15681117,LF,12.8,9.9,No,20493,,,,,,
15681117,LR,12.8,9.9,No,20493,,,,,,
15681117,RF,12.8,9.8,No,20493,,,,,,
15681117,RR,12.8,9.9,No,20493,,,,,,
12231039,LF,18.0,9.4,No,17550,,,,,,
12231039,LR,18.0,9.3,No,17550,,,,,,
12231039,RF,18.0,9.4,No,17550,,,,,,
12231039,RR,18.0,9.4,No,17550,,,,,,
15111120,LF,17.0,9.5,No,20611,,,,,,
15111120,LR,17.0,9.5,No,20611,,,,,,
15111120,RF,17.0,9.4,No,20611,,,,,,
15111120,RR,17.0,9.5,No,20611,,,,,,
21022313,LF,28.5,8.5,No,69538,,,,,,
21022313,LR,28.5,8.5,No,69538,,,,,,
21022313,RF,28.5,8.4,No,69538,,,,,,
21022313,RR,28.5,8.6,No,69538,,,,,,
10436633,LF,0.4,11.0,No,488,,,,,,
10436633,LR,12.5,9.9,No,488,,,,,,
10436633,RF,0.4,11.0,No,488,,,,,,
10436633,RR,0.4,10.9,No,488,,,,,,
10168235,LF,18.1,9.4,No,1805,,,,,,
10168235,LR,18.1,9.4,No,1805,,,,,,
10168235,RF,18.1,9.4,No,1805,,,,,,
10168235,RR,18.1,9.4,Yes,1805,,,,,,
16700495,LF,9.2,10.2,No,15736,,,,,,
16700495,LR,9.2,10.2,No,15736,,,,,,
16700495,RF,9.2,10.1,No,15736,,,,,,
16700495,RR,9.2,10.1,No,15736,,,,,,
7663558,LF,28.1,8.5,No,39342,,,,,,
7663558,LR,28.1,8.5,No,39342,,,,,,
7663558,RF,28.1,8.5,No,39342,,,,,,
7663558,RR,28.1,8.5,No,39342,,,,,,
10698200,LF,20.2,9.3,No,36607,,,,,,
10698200,LR,20.2,9.3,No,36607,,,,,,
10698200,RF,20.2,9.2,No,36607,,,,,,
10698200,RR,20.2,9.2,No,36607,,,,,,
10317465,LF,12.4,9.9,No,25605,,,,,,
10317465,LR,12.4,9.9,No,25605,,,,,,
10317465,RF,12.4,9.9,No,25605,,,,,,
10317465,RR,12.4,10.0,No,25605,,,,,,
4805972,LF,14.4,9.7,No,18178,,,,,,
4805972,LR,14.4,9.8,No,18178,,,,,,
4805972,RF,14.4,9.8,No,18178,,,,,,
4805972,RR,14.4,9.8,No,18178,,,,,,
11042427,LF,27.9,8.5,No,55890,,,,,,
11042427,LR,27.9,8.5,No,55890,,,,,,
11042427,RF,27.9,8.6,No,55890,,,,,,
11042427,RR,27.9,8.6,No,55890,,,,,,
13187399,LF,12.0,9.9,No,2221,,,,,,
13187399,LR,12.0,9.9,No,2221,,,,,,
13187399,RF,12.0,10.0,No,2221,,,,,,
13187399,RR,12.0,9.9,No,2221,,,,,,
20000212,LF,13.3,9.8,No,16518,,,,,,
20000212,LR,13.3,9.8,No,16518,,,,,,
20000212,RF,13.3,9.8,No,16518,,,,,,
20000212,RR,13.3,9.9,No,16518,,,,,,
2871666,LF,19.5,9.3,No,23364,,,,,,
2871666,LR,19.5,9.3,No,23364,,,,,,
2871666,RF,19.5,9.3,No,23364,,,,,,
2871666,RR,19.5,9.3,No,23364,,,,,,
21190220,LF,19.8,9.3,No,28537,,,,,,
21190220,LR,19.8,9.3,No,28537,,,,,,
21190220,RF,19.8,9.2,No,28537,,,,,,
21190220,RR,19.8,9.3,No,28537,,,,,,
17313504,LF,24.4,8.9,No,21502,,,,,,
17313504,LR,24.4,8.8,Yes,21502,,,,,,
17313504,RF,24.4,8.9,No,21502,,,,,,
17313504,RR,24.4,8.8,No,21502,,,,,,
15314903,LF,5.7,10.5,No,1905,,,,,,
15314903,LR,5.7,10.5,No,1905,,,,,,
15314903,RF,5.7,10.5,No,1905,,,,,,
15314903,RR,5.7,10.5,No,1905,,,,,,
19750021,LF,31.4,8.2,No,35058,,,,,,
19750021,LR,3.1,10.7,No,35058,,,,,,
19750021,RF,31.4,8.2,No,35058,,,,,,
19750021,RR,31.4,8.1,No,35058,,,,,,
530597,LF,41.5,7.3,No,47431,,,,,,
530597,LR,41.5,7.3,No,47431,,,,,,
530597,RF,41.5,7.3,Yes,47431,,,,,,
530597,RR,41.5,7.3,No,47431,,,,,,
10797480,LF,7.5,10.4,No,15659,,,,,,
10797480,LR,7.5,10.3,No,15659,,,,,,
10797480,RF,7.5,10.4,No,15659,,,,,,
10797480,RR,7.5,10.3,No,15659,,,,,,
375896,LF,16.6,9.5,No,31565,,,,,,
375896,LR,16.6,9.5,Yes,31565,,,,,,
375896,RF,16.6,9.5,No,31565,,,,,,
