ID Number,Position on Automobile,Life of Tire (Months),Tread Depth,Miles
12237050,RF,27.4,6.9,52820
6779970,LF,20.1,8.0,17091
8776539,LR,12.4,9.1,28829
13391487,RF,58.4,2.2,2805
18307885,RF,7.7,9.6,11708
8156962,RR,8.6,9.7,20658
16986081,RF,39.1,5.1,39851
11183759,LR,31.6,6.2,61749
13610627,RR,46.0,4.1,2952
12237050,LF,27.4,6.9,52820
5546697,RF,10.3,9.5,14128
4650001,LR,28.4,6.7,3642
15697877,RF,12.2,9.1,15556
18150860,RF,37.1,5.4,44932
13610627,RF,46.0,4.1,2952
14183292,RF,15.4,8.7,23244
19492787,LF,7.7,9.8,17491
5546697,LF,10.3,9.5,14128
9937888,RF,30.4,6.4,57032
8952817,RR,52.8,3.1,48961
16691383,RR,66.5,1.0,42632
10497442,RF,37.4,5.4,71717
21558296,RR,16.8,8.4,19321
14922617,RF,39.6,5.1,12346
11795405,RR,30.1,6.5,63019
1064251,RR,15.7,8.6,23043
1086054,RR,30.2,6.4,68882
10794415,LR,11.6,9.3,38384
19222031,LF,56.0,2.7,100406
7610111,LF,15.0,8.8,40058
10363514,LF,31.9,6.2,57694
3121851,RF,17.1,8.4,21378
8921457,RF,11.7,9.3,19237
3354942,LR,21.4,7.7,33254
9857663,RR,21.6,7.1,5293
12001970,LF,27.2,6.9,19224
238850,RR,19.2,8.1,37112
6685167,RF,31.4,6.4,75387
6174530,LF,6.1,10.1,14721
13926856,LF,32.0,6.3,32386
6779970,RF,20.1,7.9,17091
21514254,RF,6.9,10.0,5161
17422715,LR,29.2,6.6,70033
8047180,RR,21.9,7.7,44929
20404877,LR,12.1,9.2,24433
11215137,LR,13.7,8.9,34119
11678032,RR,11.3,9.3,20508
17422715,LF,29.2,6.6,70033
5967252,LR,9.7,9.6,8438
10395904,LF,69.0,0.6,64742
6122262,RF,3.4,10.5,7756
12252858,LF,38.4,5.2,87963
9927903,RR,10.0,9.5,2524
15697877,LF,12.2,9.1,15556
12277878,RR,8.1,9.7,2390
6065008,RR,27.9,6.8,64287
292849,RR,7.1,9.9,3371
16986081,RR,39.1,5.1,39851
17422715,RR,29.2,6.7,70033
19783520,RF,45.0,4.2,356
4650001,LF,28.4,6.7,3642
16017218,RR,15.0,8.8,19363
15869876,RR,12.9,9.0,10099
20404877,RR,12.1,9.2,24433
14120290,RF,34.6,5.8,58138
15869876,RF,12.9,9.1,10099
8156962,RF,8.6,9.7,20658
9937888,LF,30.4,6.5,57032
9306585,RR,45.4,4.1,107237
11215137,LF,13.7,8.9,34119
9857663,RF,21.6,7.1,5293
20382901,RR,14.9,8.8,17802
4245668,LF,4.6,10.3,9800
95990,LF,8.6,9.7,5670
17753949,LF,5.0,10.3,2354
21817569,RF,64.1,1.4,22618
292849,LR,7.1,10.0,3371
80441,RR,19.0,8.2,37419
11183759,LF,31.6,6.3,61749
19222031,RF,56.0,2.6,100406
15569093,LR,15.5,8.7,18014
1086054,RF,30.2,6.5,68882
6186423,RF,9.8,9.5,13628
15068001,LF,17.3,8.4,16117
6186423,LR,9.8,9.5,13628
2253516,LF,26.2,7.1,55231
7505467,RR,10.9,9.4,6211
21419359,RR,39.9,5.0,20277
16289814,RR,6.2,10.0,5221
11320872,LR,12.9,9.1,27143
6186423,RR,9.8,9.5,13628
5956645,RR,3.8,10.4,3770
21514254,LF,6.9,10.0,5161
20070110,RF,43.8,4.4,22186
80441,RF,19.0,8.1,37419
2122934,LR,111.0,9.3,21000
888432,RF,15.4,8.2,24092
15697877,LR,12.2,9.2,15556
1064251,LR,15.7,8.7,23043
202372,LF,20.9,7.9,29371
18707330,RR,9.9,9.5,2378
662056,LF,7.0,10.0,10112
20923237,LR,55.4,2.7,24681
852812,LR,2.7,10.6,872
9306585,LF,45.4,4.1,107237
662056,RF,7.0,10.0,10112
19783520,LF,45.0,4.2,356
3121851,LF,17.1,8.5,21378
15790941,LF,10.3,9.4,12114
6065008,RF,27.9,6.8,64287
95990,RF,8.6,9.8,5670
13312507,RF,4.7,10.3,7299
21817569,LR,64.1,1.3,22618
21419359,LF,39.9,5.0,20277
9091771,RR,1.8,10.7,2917
11980523,LR,21.3,7.9,28108
9107766,RR,17.6,8.3,476
11320872,RF,12.9,9.0,27143
11183759,RR,31.6,6.3,61749
6427178,RF,13.3,9.0,6858
16986081,LF,39.1,5.2,39851
13312507,LR,4.7,10.3,7299
6465679,LF,18.4,8.2,43751
9121275,LR,25.6,7.1,44890
7712178,RF,2.1,10.7,2186
15890813,LR,16.1,8.6,206
4253488,LF,10.5,9.5,23273
13926856,RF,32.0,6.2,32386
6174530,RR,6.1,10.1,14721
9210303,RR,32.5,6.2,14728
21514254,RR,6.9,10.0,5161
16641352,RF,51.2,3.3,92406
888432,LF,15.4,8.2,24092
21558296,RF,16.8,8.6,19321
16691383,RF,66.5,1.0,42632
18307885,LF,7.7,9.6,11708
15890813,RF,16.1,8.6,206
12277878,LR,8.1,9.8,2390
238850,LF,19.2,8.2,37112
20420626,LR,24.4,6.6,672
12001970,RR,27.2,6.9,19224
19492787,RR,7.7,9.8,17491
16641352,RR,51.2,3.3,92406
19778103,LF,8.2,9.8,1931
6122262,LF,3.4,10.5,7756
20382901,LF,14.9,8.8,17802
19222031,LR,56.0,2.6,100406
11320872,LF,12.9,9.1,27143
4650001,RF,28.4,6.6,3642
18707330,LF,9.9,9.5,2378
6465679,RF,18.4,8.3,43751
7610111,LR,15.0,8.8,40058
11183759,RF,31.6,6.3,61749
15068001,RR,17.3,8.3,16117
4253488,RR,10.5,9.5,23273
13249562,LR,7.3,9.8,8273
3574739,LF,73.3,0.2,57313
21678308,RR,17.3,8.4,39371
16289814,LF,6.2,10.1,5221
14120290,LF,34.6,5.8,58138
9210303,LF,32.5,6.1,14728
12971984,LF,4.4,10.3,2152
11215137,RR,13.7,8.9,34119
10794415,LF,11.6,9.3,38384
13391487,LF,58.4,2.3,2805
17221343,RR,19.7,8.1,19572
17123211,LR,29.3,6.6,24517
14183292,LR,15.4,8.7,23244
9927903,LR,10.0,9.4,2524
21558296,LR,16.8,8.4,19321
3574739,LR,73.3,0.2,57313
9091771,LF,1.8,10.7,2917
11795405,RF,30.1,6.5,63019
6779970,LR,20.1,8.0,17091
2253516,RR,26.2,7.1,55231
7712178,LR,2.1,10.6,2186
6065008,LR,18.1,8.3,64287
6065008,LF,27.9,6.8,64287
13610627,LR,46.0,4.0,2952
4253488,LR,10.5,9.5,23273
5967252,LF,9.7,9.5,8438
17221343,RF,19.7,8.0,19572
13926856,LR,32.0,6.3,32386
12252858,LR,44.7,4.3,87963
1383349,LR,25.9,7.1,6094
5967252,RF,9.7,9.5,8438
16017218,LF,15.0,8.7,19363
19778103,RF,8.2,9.8,1931
13249562,RF,7.3,9.9,8273
8696859,RR,60.1,2.0,26129
5546697,LR,10.3,9.4,14128
21817569,LF,64.1,1.3,22618
1064251,RF,15.7,8.7,23043
13249562,RR,7.3,10.0,8273
15068001,LR,17.3,8.4,16117
13114760,RF,4.2,10.4,3263
10363514,LR,31.9,6.2,57694
15890813,RR,16.1,8.6,206
20923237,RF,55.4,2.7,24681
16986081,LR,39.1,5.1,39851
14183292,LF,15.4,8.7,23244
18414311,RF,16.5,8.5,13367
9121275,RF,25.6,7.2,44890
8696859,LR,601.0,2.0,26129
888432,LR,15.4,8.2,24092
15068001,RF,17.3,8.3,16117
20070110,RR,43.8,4.4,22186
21419359,RF,39.9,10.9,20277
17221343,LR,19.7,8.1,19572
9857663,LF,21.6,7.1,5293
2122934,LF,11.1,9.3,21000
9937888,LR,30.4,6.5,57032
6779970,RR,20.1,7.9,17091
